Proposal Number:,type,pub_title,authors,reference_no
UREP19-136-1-023,,,,
UREP19-128-5-024,,,,
UREP19-115-5-016,,,,
UREP19-110-1-014,Conference Paper,Encapsulation of polyaromatic hydrocarbons in diblock copolymer micelles: Theoretical and experimental study,"Ali El-Samak, Ahmed Elgendy, Mahmoud K. Abdelrasool, Mohamed Youssry",DOI:2745244
UREP19-108-1-012,Conference Paper,An Interactive Visualization Web Solution for Electricity Consumption in Qatar,Engy Soliman      ;    Salma Shalaby      ;    Noora Fetais,DOI:10.1109/COMAPP.2017.8079746
UREP19-100-1-011,,,,
UREP19-097-3-027,,,,
UREP19-091-5-014,,,,
UREP19-083-2-040,,,,
UREP19-078-2-037,,,,
UREP19-071-3-021,Conference Paper,Design and Development of Three-Dimensional Biodegradable Electrospun Nanofibrous Scaffolds for Wound Healing and other Tissue Engineering Applications,"Dana Elkhalifa, Aya Al Shammaa, Mai Salama, Hala Adel, Sarah Ghanim, Samaher Alshaibi, Shijimol Ma, 
Sandi Ali Adib &amp; Husam Younes",DOI:000
UREP19-069-2-031,,,,
UREP19-062-2-026,Journal Paper,Design and implementation of a modular ECMO simulator,"Mohammad Aldisi, Abdullah Alsalemi,  Yahya Alhomsi, Ibrahim Ahmed, Faycal Bensaali, Guillaume Alinier, Abbess Amira",ISSN:02538253
UREP19-062-2-026,Journal Paper,Using thermochromic ink for medical simulations,"Abdullah Alsalemi, Mohammed Aldisi Yahya Alhomsi, Ibrahim Ahmed, Faycal Bensaali, Guillaume Alinier, Abbes Amira",ISSN:x2538253
UREP19-062-2-026,Journal Paper,Revolutionizing ECMO simulation with affordable yet high-Fidelity technology,"Mohammed Al Disi, Abdullah Alsalemi, Yahia Alhomsi, Faycal Bensaali, Abbes Amira, Guillaume Alinier",ISSN:07356757
UREP19-062-2-026,Conference Paper,'Developing Cost-Effective Simulators for Patient Management: A Modular Approach,"A. Alsalemi, M. Al Disi, I. Ahmed, Y. Alhomsi, F. Bensaali, A. Amira and G. Alinier",DOI:10.1109/ICABME.2017.8167552
UREP19-062-2-026,Conference Paper,Real-Time Communication Network using Firebase Cloud IoT Platform for ECMO Simulation,"A. Alsalemi, Y. Alhomsi, M. Al Disi, I. Ahmed, F. Bensaali, A. Amira and G. Alinier",DOI: 10.1109/iThings-GreenCom-CPSCom-SmartData
UREP19-062-2-026,Journal Paper,Addressing the challenges of ECMO simulation,"Guillaume Alinier, Ibrahim Fawzy Hassan, Abdullah Alsalemi, Mohammed Al Disi, Ali Ait Hssain, Ahmed Labib, Yahya Alhomsi4, Fayçal Bensaali, Abbes Amira, Abdulsalam Saif Ibrahim",ISSN:02676591
