_id,Proposal Number:,Program Cycle:,Submitting Institution Name:,Project Status:,Start Date:,Lead Investigator:,Project Duration:,End Date:,SubmissionType:,Proposal Title:,Research Keyword 1,Research Keyword 2,Research Keyword 3,Research Keyword 4,Research Keyword 5,Research Type:,Personnel,Institution,URL
593,UREP 09 - 008 - 3 - 001,UREP,Qatar University,Award Tech. Completed,30 Jan 2011,Dr. Kerry Wilbur,1 Year(s),30 Jan 2012,New,Evaluating an Intervention Program for Obese Youth in Qatar,diabetes, obesity, adolescent, children, program,Applied research,"[('Primary Research Mentor', 'Dr. Kerry Wilbur', 'Qatar University'), ('Student', 'Ghadeer Daghash', 'Qatar University'), ('Student', 'Sahar Selmi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=3698&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
594,UREP 09 - 004 - 1 - 003,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,30 Jan 2011,Dr. Benjamin Shykind,1 Year(s),30 Jan 2012,New,Subnuclear localization of odorant receptor genes,nucleus, heterochromatin, gene, DNA, in situ hybridization,Basic research,"[('Primary Research Mentor', 'Dr. Benjamin Shykind', 'Weill Cornell Medical College in Qatar'), ('Student', 'Danial Mir', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=3502&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
595,UREP 08 - 142 - 6 - 015,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Djamel Boussaa,1 Year(s),30 Jun 2011,New,Conservation and Development of Urban Heritage in Doha,Urban heritage, conservation, development, tourism, Doha,Applied research,"[('Primary Research Mentor', 'Dr. Djamel Boussaa', 'Qatar University'), ('Student', 'Balsam Abu Nada', 'Qatar University'), ('Student', 'Aisha  Al-Sada', 'Qatar University'), ('Student', 'Aisha Al-Mutawa', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2672&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
596,UREP 08 - 139 - 3 - 027,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,15 Jun 2010,Dr. Fayez SAFADI,1 Year(s),30 Jun 2011,New,"Studying Age-related Osteoporosis, Osteoactivin, Novel Bone Growth Factor",Osteoactivin, Osteoporosis , Bone Formation, Aminal Models,,Basic research,"[('Primary Research Mentor', 'Dr. Fayez SAFADI', 'Northeast Ohio Medical University'), ('Student', 'Maha Al-Ghafry', 'Weill Cornell Medical College in Qatar'), ('Student', 'Maryam Ayaz', 'Weill Cornell Medical College in Qatar'), ('Student', 'Haya Ahram', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2669&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
597,UREP 08 - 136 - 6 - 014,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Prof. Ashraf Salama,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 027 - 6 - 002],Exploring Active and Experiential Learning Mechanisms in Lecture based Courses in Architecture,Inquiry based Learning, Active Learning, Experience, Architecture, Urban Environment,Applied research,"[('Primary Research Mentor', 'Prof. Ashraf Salama', 'University of Strathclyde'), ('Student', 'Amani Salem', 'Qatar University'), ('Student', 'Yasmin Jaber', 'Qatar University'), ('Student', 'Mashael Al-jassim', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2666&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
598,UREP 08 - 135 - 5 - 027,UREP,Georgetown University School of Foreign Service in Qatar,Award Tech. Completed,15 Jun 2010,Dr. Alexis Antoniades,1 Year(s),30 Jun 2011,New,An Analysis of Global Public Private Partnerships: How Can Qatar Benefit from Them?,Qatar, Public Private Partnership, Global,,,Basic research,"[('Primary Research Mentor', 'Dr. Alexis Antoniades', 'Georgetown University School of Foreign Service in Qatar'), ('Industry Research Mentor', 'Stephen Carriere', 'Qatar Financial Centre Authority'), ('Student', 'Jumana  Al-Aref', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Mohamed Al-Thani', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution'), ('Qatar Financial Centre Authority', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2665&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
599,UREP 08 - 134 - 5 - 026,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Jennifer Heeg,1 Year(s),30 Jun 2011,New,Pulse of Qatar: A Comparative Study on Health Issues of Egyptian and South Asian Migrant Workers,medical anthropology, migrant workers, community health,,,Applied research,"[('Primary Research Mentor', 'Dr. Jennifer Heeg', 'Texas A&amp;M University at Qatar'), ('Student', 'Ms. Mariyam Almohannadi', 'Qatar University'), ('Student', 'Yogamaya Mantha', 'Qatar University')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Qatar University', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2664&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
600,UREP 08 - 131 - 3 - 026,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,15 Jun 2010,Dr. Pablo Rodriguez del Pozo,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 023 - 3 - 008],Doctors' Attitudes on Disclosing Information to Cancer Patients in Qatar,cancer, truth-telling, disclosure, information, culture,Applied research,"[('Primary Research Mentor', 'Dr. Pablo Rodriguez del Pozo', 'Weill Cornell Medical College in Qatar'), ('Student', 'Tarek Elshazly', 'Weill Cornell Medical College in Qatar'), ('Student', 'Rim El Chaki', 'Weill Cornell Medical College in Qatar'), ('Student', 'Deena Wafadari', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2661&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
601,UREP 08 - 123 - 2 - 042,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Lizmol Mathew,1 Year(s),30 Jun 2011,New,The Impact of Spatial Qualities on Employees Satisfaction and  Productivity in Work Environments in Qatar,work environments, user satisfaction, spatial qualities, productivity, Qatar,Applied research,"[('Primary Research Mentor', 'Dr. Lizmol Mathew', 'Qatar University'), ('Student', 'Ms. Asmaa AL-Mohannadi', 'Qatar University'), ('Student', 'Aisha Al-Assiri', 'Qatar University'), ('Student', 'Miss Reem Awwaad', 'Qatar University'), ('Student', 'ALMaha AL-Malki', 'Qatar University'), ('Student', 'Ahuod AlNaimi', 'Qatar University'), ('Student', 'Fatma Al-meer', 'Qatar University'), ('Research Mentor', 'Prof. Ashraf Salama', 'University of Strathclyde')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2653&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
602,UREP 08 - 122 - 3 - 025,UREP,Weill Cornell Medical College in Qatar,Award Terminated,15 Jun 2010,Dr. ismail farag,1 Year(s),30 Jun 2011,New,Pattern of traumatic maxillofacial injuries among the pediatric population of Qatar during the years 2006-2009,Maxillofacial, Pediatric, Trauma, Qatar,,Applied research,"[('Primary Research Mentor', 'Dr. ismail farag', 'Hamad Medical Corporation'), ('Industry Research Mentor', 'Dr. Moustafa Al-Khalil', 'Hamad Medical Corporation'), ('Student', 'Mohamed-Ali Babi', 'Weill Cornell Medical College in Qatar'), ('Student', 'Tasnim Khalife', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2652&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
603,UREP 08 - 118 - 2 - 041,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Hisham Eid,1 Year(s),30 Jun 2011,New,Numerical study on the behavior of skirted shallow foundations on sand,Skirted foundations, Sand, Bearing capacity, Settlement,,Applied research,"[('Primary Research Mentor', 'Dr. Hisham Eid', 'Qatar University'), ('Student', 'Saleh Tehemar', 'Qatar University'), ('Student', 'Mohammed Shamyah', 'Qatar University'), ('Student', 'Khaled Rabie', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2648&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
604,UREP 08 - 117 - 2 - 040,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Nesrin Ozalp,1 Year(s),30 Jun 2011,New,DESIGN AND 3D VISUALIZATION OF A SOLAR REACTOR,Solar reactor, Design, Visualization,,,Basic research,"[('Primary Research Mentor', 'Dr. Nesrin Ozalp', 'Texas A&amp;M University at Qatar'), ('Student', 'Bashar Al Khalili', 'Texas A&amp;M University at Qatar'), ('Student', 'Abdalla Abdalla', 'Texas A&amp;M University at Qatar'), ('Student', 'Mohamed Mohamed', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2647&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
605,UREP 08 - 115 - 1 - 020,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Erradi Abdelkarim,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 123 - 1 - 027],Interactive Campus Map for Pedestrian Navigation and Self-guided Tour on Mobile Devices,Webometrics, Web Analytics, Web services / REST Services, Web sites ranking,,Applied research,"[('Primary Research Mentor', 'Dr. Erradi Abdelkarim', 'Qatar University'), ('Student', 'Muneera Abashaar', 'Qatar University'), ('Student', 'Miss Maryam Al Darwish', 'Qatar University'), ('Student', 'Ms. Mariam Kafood', 'Kahramaa')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2645&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
606,UREP 08 - 112 - 3 - 021,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Sherief Khalifa,1 Year(s),30 Jun 2011,New,Isolation of Biologically Active Compounds from Qatar Flora,Qatar flora, Medicinal plants, Chromatographic isolation, Biological evaluation, Structure elucidation,Applied research,"[('Primary Research Mentor', 'Dr. Sherief Khalifa', 'Qatar University'), ('Student', 'Hajer AlGeed', 'Qatar University'), ('Student', 'Eman Remodan', 'Qatar University'), ('Research Mentor', 'Dr. Charles A. Matowe', 'University of Alberta')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2642&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
607,UREP 08 - 109 - 2 - 035,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Erradi Abdelkarim,1 Year(s),30 Jun 2011,New,Ad Hoc Data Analytics for Large Datasets using Cloud Computing-enabled Spreadsheets,Cloud Computing, Ad Hoc Data Analytics, Hadoop, End users development,,Applied research,"[('Primary Research Mentor', 'Dr. Erradi Abdelkarim', 'Qatar University'), ('Student', 'Nadia Alokka', 'Qatar University'), ('Student', 'Amira Ghenai', 'Qatar University'), ('Student', 'Farah El-Qawasma', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2639&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
608,UREP 08 - 102 - 1 - 017,UREP,Ahmed Bin Mohamed Military College - Qatar,Award Tech. Completed,15 Jun 2010,Dr. Mohamed Salah Hamdi,1 Year(s),30 Jun 2011,New,Role of information technology in combating human trafficking in globalization times and impact on the state Qatar,information systems, information technology, human trafficking,,,Basic research,"[('Primary Research Mentor', 'Dr. Mohamed Salah Hamdi', 'Ahmed Bin Mohamed Military College - Qatar'), ('Student', 'Abdallah  Al-Mansouri', 'Ahmed Bin Mohamed Military College - Qatar'), ('Student', 'Abdulaziz Al-Thani', 'Ahmed Bin Mohamed Military College - Qatar'), ('Student', 'Hassan Al-Kuwari', 'Ahmed Bin Mohamed Military College - Qatar')]","[('Ahmed Bin Mohamed Military College - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2632&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
609,UREP 08 - 100 - 1 - 016,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Reza Sadr,1 Year(s),30 Jun 2011,New,Design and setup of experimental facility for atmospheric study,Experimental methods, atmospheric study, Turbulent Boundary layer,,,Experimental Development,"[('Primary Research Mentor', 'Dr. Reza Sadr', 'Texas A&amp;M University at Qatar'), ('Student', 'Ahmad Jichi', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2630&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
610,UREP 08 - 099 - 2 - 033,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Reza Sadr,1 Year(s),30 Jun 2011,New,Design and Construction of an Optically accessible  Spray Diagnostic Facility,Experimental methods, Spray characteristics, velocity measurement,,,Experimental Development,"[('Primary Research Mentor', 'Dr. Reza Sadr', 'Texas A&amp;M University at Qatar'), ('Student', 'Mohammed Alathba', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2629&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
611,UREP 08 - 091 - 2 - 031,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Ahmed Massoud,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 114 - 2 - 032],Grid-connected photovoltaic-based single-phase inverter for Qatar residential loads,solar energy, photovoltaic, inverter, grid connected, voltage regulation,Applied research,"[('Primary Research Mentor', 'Dr. Ahmed Massoud', 'Qatar University'), ('Student', 'Mohammed ALmansouri', 'Qatar University'), ('Student', 'Abdulla AlJabri', 'Qatar University'), ('Student', 'saif alMalki', 'Qatar University'), ('Student', 'Fadi Bassam', 'Qatar University'), ('Student', 'Omar Abdallah', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Dr. Shehab Ahmed', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Dr. Nasser Al-Emadi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('Texas A&amp;M University at Qatar', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2621&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
612,UREP 08 - 090 - 3 - 018,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,15 Jun 2010,Prof. Abdulbari Bener,1 Year(s),30 Jun 2011,New,Maternal complications during third trimester with pregnancy outcome among Arab women in Qatar,Maternal, Complications, Third Trimester, Preganacy,,Applied research,"[('Primary Research Mentor', 'Prof. Abdulbari Bener', 'Hamad Medical Corporation'), ('Industry Research Mentor', 'Dr. Najah Saleh', 'Hamad Medical Corporation'), ('Student', 'Pankit  Vachhani', 'Weill Cornell Medical College in Qatar'), ('Student', 'Awab Ali', 'Weill Cornell Medical College in Qatar'), ('Student', 'Mohammed Al-Nufal', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2620&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
613,UREP 08 - 089 - 5 - 019,UREP,Georgetown University School of Foreign Service in Qatar,Award Tech. Completed,15 Jun 2010,Prof. Mark Farha,1 Year(s),30 Jun 2011,New,The Impact of Global Communications on Family Values in Qatar,Global Communications, Family Values, Qatar, Social Change,,Basic research,"[('Primary Research Mentor', 'Prof. Mark Farha', 'Doha Institute for Graduate Studies'), ('Student', 'Miodrag Stamboldziev', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Dalal Al-Thani', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2619&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
614,UREP 08 - 087 - 1 - 014,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Prof. Mohamed Amr,1 Year(s),30 Jun 2011,New,Ultratrace Determination of Radium-226 in Mineral Water by Collision/Reaction Cell Inductively Coupled Plasma Mass Spectrometry,radium, separation, ICP-MS,,,Basic research,"[('Primary Research Mentor', 'Prof. Mohamed Amr', 'Ministry of Municipality and Environment (MME)'), ('Industry Research Mentor', 'Mr. Alaa Eldin Negmeldin', 'Qatar University'), ('Student', 'Zakaria Othman', 'Qatar University'), ('Student', 'Mohamed  Taha', 'Qatar University'), ('Student', 'Mostrata  Alghoul', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2617&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
615,UREP 08 - 082 - 2 - 029,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Reza Tafreshi,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 108 - 2 - 031],Automatic Sleep Spindle Detection for Investigating Circadian Phases,sleep analysis, wavelets, circadian rhythms,,,Applied research,"[('Primary Research Mentor', 'Dr. Reza Tafreshi', 'Texas A&amp;M University at Qatar'), ('Industry Research Mentor', 'Dr. Hassan Al-Hail', 'Hamad Medical Corporation'), ('Student', 'Fatima El-Mubarak', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Omar Al-Ani', 'Texas A&amp;M University at Qatar'), ('Student', 'Taha  Elaradi', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Prof. Beena Ahmed', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2612&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
616,UREP 08 - 081 - 6 - 006,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,15 Jun 2010,Ms. Autumn Watts,1 Year(s),30 Jun 2011,Resubmission of [UREP 07 - 068 - 6 - 009],Voices of Memory: Oral Stories and Folktales of Qatar,folktales, oral tradition, Qatar,,,Basic research,"[('Primary Research Mentor', 'Ms. Autumn Watts', 'Weill Cornell Medical College in Qatar'), ('Student', 'Dr. Yasser Al-Samman', 'Weill Cornell Medical College in Qatar'), ('Student', 'Hend AlSowaidi', 'Qatar University'), ('Student', 'Majd-alden Mohammad', 'Qatar University'), ('Student', 'Kholoud Saleh', 'Qatar University'), ('Student', 'zeinab jalfi', 'Qatar University'), ('Student', 'Ms. Rana El-Maghraby', 'Weill Cornell Medical College in Qatar'), ('Student', 'Maryam Alsaud', 'Qatar University'), ('Student', 'Alanood Al-Abduljabbar', 'Qatar University'), ('Student', 'Amer Alsaied', 'Weill Cornell Medical College in Qatar'), ('Research Mentor', 'Mrs. Amy Hamar', 'Qatar University'), ('Research Mentor', 'Ian Miller', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution'), ('Qatar University', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2611&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
617,UREP 08 - 079 - 5 - 017,UREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,15 Jun 2010,Dr. Krystyna Golkowska,1 Year(s),30 Jun 2011,New,Female physicians in Qatar: Perceptions and Reality,perceptions, physicians, female,,,Basic research,"[('Primary Research Mentor', 'Dr. Krystyna Golkowska', 'Weill Cornell Medical College in Qatar'), ('Student', 'Btool Mohamed', 'Weill Cornell Medical College in Qatar'), ('Student', 'Shaikha Al-Shokri', 'Weill Cornell Medical College in Qatar'), ('Student', 'Ibrahim Al-Emadi', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2609&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
618,UREP 08 - 078 - 3 - 016,UREP,University of Calgary - Qatar,Award Tech. Completed,15 Jun 2010,Dr. Diane Duff,1 Year(s),30 Jun 2011,New,Illness Narratives of Qataris Living with Chronic Conditions,Qatari, Chronic illness, Narrative,,,Applied research,"[('Primary Research Mentor', 'Dr. Diane Duff', 'University of Calgary - Qatar'), ('Industry Research Mentor', 'Ms. Charlotte Al Haider', 'Hamad Medical Corporation'), ('Industry Research Mentor', 'Ms. Elizabeth Young', 'Hamad Medical Corporation'), ('Student', 'Wahiba Al-Saadi', 'University of Calgary - Qatar'), ('Student', 'Samar Abdul Qader', 'University of Calgary - Qatar'), ('Student', 'Amal Al-Saif', 'University of Calgary - Qatar'), ('Student', 'nada al-sharshani', 'University of Calgary - Qatar'), ('Student', 'Naseem Khan', 'University of Calgary - Qatar'), ('Student', 'maryam Al Tamimi', 'University of Calgary - Qatar'), ('Research Mentor', 'Dr. Elyssa Warkentin', 'University of Calgary - Qatar'), ('Research Mentor', 'Ms. Jan Graham', 'University of Calgary - Qatar'), ('Research Mentor', 'Prof. Sheila  Clark', 'University of Calgary - Qatar')]","[('University of Calgary - Qatar', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2608&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
619,UREP 08 - 077 - 1 - 012,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Prof. Samir Jaoua,1 Year(s),30 Jun 2011,New,"Isolation and characterization of new strains of Bacillus thuringiensis from Qatar  for  the biological control of mosquitoes and plant pathogenic insects,  ensuring Environmental sustainability",Bacillus thuringiensis, Isolation , delta-endotoxin, Gene cloning, mosquitoes control,Applied research,"[('Primary Research Mentor', 'Prof. Samir Jaoua', 'Qatar University'), ('Student', 'Duha Rabah', 'Qatar University'), ('Student', 'sarah Zakzok', 'Qatar University'), ('Research Mentor', 'Dr. Mahmoud Kardousha', 'Qatar University'), ('Research Mentor', 'Dr. Roda Al-Thani', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2607&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
620,UREP 08 - 072 - 3 - 015,UREP,Qatar University,Award Tech. Completed,15 Jun 2010,Dr. Asma Althani,1 Year(s),30 Jun 2011,New,Prevalence of viruses causing gastroenteritis among patients in Doha,gastroenteritis , Virus, Doha,,,Basic research,"[('Primary Research Mentor', 'Dr. Asma Althani', 'Qatar University'), ('Industry Research Mentor', 'Dr. Said Al Dhahiry', 'Hamad Medical Corporation'), ('Student', 'Shaima Deeb', 'Qatar University'), ('Student', 'Kholoud Abdullatif', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2602&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
621,UREP 08 - 069 - 2 - 024,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Prof. Beena Ahmed,1 Year(s),30 Jun 2011,New,Characterization of development verbal dyspraxia (DVD) specific voice impairments using short term spectral analysis,speech processing, voice disorders, dyspraxia, impaired voice, speech monitoring,Applied research,"[('Primary Research Mentor', 'Prof. Beena Ahmed', 'Texas A&amp;M University at Qatar'), ('Industry Research Mentor', 'Dr. Samina Latif', 'Al Ahli Hospital'), ('Student', 'Fatima  Raja', 'Weill Cornell Medical College in Qatar'), ('Student', 'Syed Mubashar Ali Shah Rizvi', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Al Ahli Hospital', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2599&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
622,UREP 08 - 067 - 2 - 023,UREP,Texas A&M University at Qatar,Award Tech. Completed,15 Jun 2010,Dr. Annie Ruimi,1 Year(s),30 Jun 2011,New,Experiments of Surgical Threads Subjected to Bending and Torsional Loading,rod theory, bending , twisting,,,Experimental Development,"[('Primary Research Mentor', 'Dr. Annie Ruimi', 'Texas A&amp;M University at Qatar'), ('Industry Research Mentor', 'Dr. Bakr Nour', 'Weill Cornell Medical College in Qatar'), ('Student', 'Shameel Abdulla', 'Texas A&amp;M University at Qatar'), ('Student', 'Hussein Zahreddine', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Weill Cornell Medical College in Qatar', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2597&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
